array,code,lat (deg),lon (deg),elev (m),year,num elements,aperture (km)
IS01, AR, -41.11,  -70.72, 1013, 2019,  8, 1.51 
IS02, AR, -54.58,  -67.31,   94, 2006,  5, 1.43 
IS03, AU, -68.58,   78.07,   64, 2018,  7, 1.40 
IS04, AU, -34.60,  116.36,  167, 2006,  8, 2.41 
IS05, AU, -42.49,  147.68,  350, 2003,  8, 2.24 
IS06, AU, -12.15,   96.82,  -10, 2011,  8, 1.56 
IS07, AU, -19.93,  134.33,  386, 2001,  8, 2.26 
IS08, BO, -16.22,  -68.45, 4096, 2002,  4, 2.30 
IS09, BR, -15.64,  -48.02, 1185, 2003,  4, 2.26 
IS10, CA,  50.20,  -96.03,  247, 2001,  4, 2.60 
IS11, CV,  15.26,  -23.18,   44, 2007,  8, 1.97  
IS13, CL, -27.13, -109.36,  163, 2005,  8, 2.82 
IS14, CL, -33.65,  -78.80,  388, 2004,  8, 2.64 
IS17, CI,   6.67,   -4.86,  156, 2002,  4, 2.94 
IS18, DK,  77.48,  -69.29,   69, 2003,  8, 1.16 
IS19, DJ,  11.47,   43.17,   21, 2011,  8, 2.01 
IS20, EC,  -0.60,  -90.37,  448, 2017,  8, 2.06 
IS21, FR,  -8.87, -140.16,  806, 2005,  4, 1.83 
IS22, FR, -22.18,  166.85,  272, 2003,  4, 2.15 
IS23, FR, -49.35,   70.24,   84, 2007, 15, 1.60 
IS24, FR, -17.75, -149.30,  117, 2002,  5, 3.89 
IS25, FR,  16.13,  -61.63,  245, 2020,  9, 1.85 
IS26, DE,  48.85,   13.71, 1110, 2001,  8, 2.57 
IS27, DE, -70.70,   -8.30,   50, 2004,  9, 1.92
IS30, JP,  35.31,  140.31,   52, 2005,  6, 2.12
IS31, KZ,  50.41,   58.03,  367, 2004,  9, 2.19 
IS32, KE,  -1.24,   36.83, 1662, 2004,  7, 1.13
IS33, MG, -19.01,   47.31, 1385, 2001,  4, 2.48
IS34, MN,  47.80,  106.41, 1245, 2002,  8, 2.97 
IS35, NA, -19.19,   17.58, 1253, 2004,  7, 2.05
IS36, NZ, -43.92, -176.48,   14, 2004,  8, 2.86
IS37, NO,  69.07,   18.61,   74, 2013, 10, 1.95
IS39, PW,   7.54,  134.55,  100, 2005,  7, 2.44
IS40, PG,  -4.30,  152.01,   85, 2014,  8, 1.87
IS41, PY, -26.34,  -57.31,  164, 2003,  4, 2.28
IS42, PT,  39.04,  -28.01,  284, 2010,  8, 1.51
IS43, RU,  56.72,   37.22,  120, 2009,  6, 1.55
IS44, RU,  53.11,  157.71,  380, 2006,  4, 1.90
IS45, RU,  44.20,  131.98,  150, 2008,  4, 2.17
IS46, RU,  53.95,   84.82,  232, 2006,  4, 2.84
IS47, ZA, -28.62,   25.24, 1306, 2005,  8, 1.69
IS48, TN,  35.81,    9.32,  850, 2006,  7, 1.86
IS49, GB, -37.09,  -12.33,   81, 2005,  5, 2.14
IS50, GB,  -7.94,  -14.38,  186, 2005,  8, 2.79
IS51, GB,  32.36,  -64.70,  -30, 2008,  4, 2.40
IS52, GB,  -7.38,   72.48,    1, 2004,  7, 1.90
IS53, US,  64.88, -147.86,  200, 2003,  8, 1.97
IS55, US, -77.72,  167.65,   45, 2003,  8, 2.83
IS56, US,  48.26, -117.13,  763, 2005,  4, 2.24
IS57, US,  33.61, -116.45, 1248, 2002,  8, 1.45
IS58, US,  28.21, -177.38,    5, 2013,  4, 1.86
IS59, US,  19.59, -155.89, 1034, 2001,  4, 1.89
IS60, US,  19.29,  166.61,    5, 2016,  8, 3.37
